ECOSYSTEM,SKILL,RATING,COMMENTS,I'D LIKE TO LEARN,LEVEL
,,,,,
React,React,3,,TRUE,I can analyse working solutions and propose refactors and generalization
React,Next.js,0,,TRUE,
React,Redux,3,,TRUE,"I am able to keep a normalised state, using complex reducers in order to guarantee immutability and flatten/efficient
 structures"
React,ReactCssTransition,0,,TRUE,
React,Redux-Sagas,2,,TRUE,I can configure from the scratch a new project
React,i18Next,0,,FALSE,
React,React Native Web,0,,TRUE,
React,Gatsby,0,,FALSE,
,,,,,
NodeJS,Express,2,,TRUE,"I understand Request, Response objects, middleware pattern in Express and parametrized routes"
NodeJS,Systemic,1,,TRUE,I know about a module called systemic and the basics about injection dependency
NodeJS,NPM,3,,TRUE,I know what is npm link for and how to publish a module in the public registry
NodeJS,Webpack,2,,TRUE,I know  how to install and configure a simple webpack.config.js and run a server with webpack-dev-server
NodeJS,CLI,0,,TRUE,
NodeJS,Debugging/Profiling,0,,FALSE,
NodeJS,Logging,0,,FALSE,
NodeJS,Build tools (Webpack not included),0,,TRUE,
NodeJS,Hardware,1,,TRUE,"I have a very basic idea of the most common topics (Libraries, Serial Port, comm, hardware components)"
NodeJS,Control Flow,0,,TRUE,
NodeJS,Streams,1,,TRUE,"I have a very basic idea of the most common topics (Streams, fs, http...)"
NodeJS,Testing,4,,FALSE,I am able to perform TDD in e2e and unit testing environment
NodeJS,Security,1,,TRUE,"I have a very basic idea of the most common topics (Injections, dependency hell, etc...)"
NodeJS,Process Management,0,,TRUE,
NodeJS,Electron,0,,TRUE,
NodeJS,Scraping,0,,FALSE,
NodeJS,Core,0,,TRUE,
NodeJS,Events Arch,0,,TRUE,
,,,,,
Testing,Cypress,1,,TRUE,I work effectively modifying existing solutions implemented with it
Testing,Chai,3,,FALSE,"I can develop new solutions that use it.
I can implement different assertion types with different methods (should, expect, assert)"
Testing,Mocha,3,,FALSE,"I can develop new solutions that use it.
I know how the test runner lifecycle works"
Testing,Sinon,3,,FALSE,"I develop new solutions that use it.
I can implement different Sinon concepts like stubs spies and mocks"
Testing,Detox,0,,TRUE,
